128,7,175,923
1631,714,292,-1
-1,1571,50,242
1593,1558,1169,1553
262,532,-1,464
222,-1,431,419
114,1390,-1,902
0,1712,1486,812
-1,699,64,832
601,80,459,-1
190,675,1283,-1
35,49,675,1127
1350,1526,1221,933
1561,1578,1539,-1
1118,1191,-1,-1
1493,1256,673,1619
329,774,1202,695
-1,260,104,309
1036,1677,25,890
267,165,1047,1053
-1,647,797,320
828,814,-1,797
349,-1,299,1571
456,-1,151,480
1040,84,126,-1
18,1559,1442,1222
-1,633,632,573
569,555,562,-1
736,1670,1075,711
385,37,685,1424
50,1177,-1,1571
1156,50,1143,-1
615,937,40,-1
185,313,334,89
574,263,320,227
1262,983,11,860
1149,163,308,676
29,1252,1478,948
-1,412,56,335
460,-1,99,318
32,559,551,-1
52,457,232,458
454,819,829,-1
625,-1,586,588
1610,1195,1397,88
231,126,1713,750
928,176,-1,122
760,196,-1,723
1289,417,913,1159
11,1049,1450,1143
31,30,1143,2
1413,-1,1707,-1
436,41,98,434
-1,288,193,290
361,-1,594,617
1638,1438,72,-1
-1,1006,351,38
884,1144,1422,-1
627,633,638,100
227,501,647,751
1369,1505,1254,977
361,-1,575,201
428,208,545,441
-1,779,767,1056
515,-1,8,832
533,101,698,-1
629,448,1628,1618
419,428,444,461
-1,970,645,-1
1292,547,296,-1
397,-1,406,83
-1,480,436,-1
74,55,854,-1
728,359,191,-1
729,72,1652,-1
145,117,1073,-1
826,671,240,1444
1665,1074,156,912
134,1337,86,1098
455,-1,436,457
517,484,9,-1
1099,995,697,1094
716,-1,597,373
247,-1,70,410
1024,1713,24,-1
475,-1,93,-1
78,187,134,-1
1196,1034,362,126
1217,44,1401,734
33,325,-1,351
865,1196,362,1275
1526,1656,1455,1185
1479,1482,-1,1533
463,85,709,810
-1,617,614,558
115,853,1102,978
-1,830,813,814
-1,346,628,585
232,495,52,434
280,39,-1,275
58,-1,571,797
1001,65,-1,648
1706,-1,-1,1699
-1,841,818,-1
17,705,1152,787
386,-1,355,149
-1,216,440,471
288,236,192,-1
848,1455,644,1327
867,1053,1041,857
